TaxonName,Author
Abarema abbottii,(Rose & Leonard) Barneby & J.W.Grimes
Abarema acreana,(J.F.Macbr.) L.Rico
Abarema adenophora,(Ducke) Barneby & J.W.Grimes
Abarema alexandri,(Urb.) Barneby & J.W.Grimes
Abarema asplenifolia,(Griseb.) Barneby & J.W.Grimes
Abarema auriculata,(Benth.) Barneby & J.W.Grimes
Abarema barbouriana,(Standl.) Barneby & J.W.Grimes
Abarema barnebyana,Iganci & M.P.Lima
Abarema brachystachya,(DC.) Barneby & J.W.Grimes
Abarema callejasii,Barneby & J.W.Grimes
Abarema campestris,(Spruce ex Benth.) Barneby & J.W.Grimes
Abarema centiflora,Barneby & J.W.Grimes
Abarema cochleata,(Willd.) Barneby & J.W.Grimes
Abarema cochliocarpos,(Gomes) Barneby & J.W.Grimes
Abarema commutata,Barneby & J.W.Grimes
Abarema curvicarpa,(H.S.Irwin) Barneby & J.Grimes
Abarema ferruginea,(Benth.) Pittier
Abarema filamentosa,(Benth.) Pittier
Abarema floribunda,(Spruce ex Benth.) Barneby & J.W.Grimes
Abarema gallorum,Barneby & J.W.Grimes
Abarema ganymedea,Barneby & J.W.Grimes
Abarema glauca,(Urb.) Barneby & J.W.Grimes
Abarema idiopoda,(S.F.Blake) Barneby & J.W.Grimes
Abarema josephi,Barneby & J.W.Grimes
Abarema jupunba,(Willd.) Britton & Killip
Abarema killipii,(Britton & Rose) Barneby & J.W.Grimes
Abarema laeta,(Benth.) Barneby & J.W.Grimes
Abarema langsdorffii,(Benth.) Barneby & J.W.Grimes
Abarema lehmannii,(Britton & Rose) Barneby & J.W.Grimes
Abarema leucophylla,(Spruce ex Benth.) Barneby & J.W.Grimes
Abarema levelii,(R.S.Cowan) Barneby & J.W.Grimes
Abarema limae,Iganci & M.P.Lima
Abarema longipedunculata,(H.S.Irwin) Barneby & J.W.Grimes
Abarema macradenia,(Pittier) Barneby & J.W.Grimes
Abarema maestrensis,(Urb.) Bässler
Abarema mataybifolia,(Sandwith) Barneby & J.W.Grimes
Abarema microcalyx,(Spruce ex Benth.) Barneby & J.W.Grimes
Abarema nipensis,(Britton) Barneby & J.W.Grimes
Abarema obovalis,(A.Rich.) Barneby & J.W.Grimes
Abarema obovata,(Benth.) Barneby & J.W.Grimes
Abarema oppositifolia,(Urb.) Barneby & J.W.Grimes
Abarema oxyphyllidia,Barneby & J.W.Grimes
Abarema piresii,Barneby & J.Grimes
Abarema racemiflora,(Donn.Sm.) Barneby & J.W.Grimes
Abarema turbinata,(Benth.) Barneby & J.W.Grimes
Abarema villifera,(Ducke) Barneby & J.W.Grimes
Abarema villosa,Iganci & M.P.Lima
Abarema zolleriana,(Standl. & Steyerm.) Barneby & J.W.Grimes
Abatia mexicana,Standl.
Abatia parviflora,Ruiz & Pav.
Abatia rugosa,Ruiz & Pav.
Abatia spicata,(Turcz.) Sleumer
Abies alba,Mill.
Abies amabilis,(Douglas ex Loudon) J.Forbes
Abies balsamea,(L.) Mill.
Abies beshanzuensis,M.H.Wu
Abies bracteata,(D.Don) Poit.
Abies cephalonica,Loudon
Abies chensiensis,Tiegh.
Abies cilicica,(Antoine & Kotschy) Carrière
Abies concolor,(Gordon) Lindl. ex Hildebr.
Abies delavayi,Franch.
Abies densa,Griff.
Abies durangensis,Martínez
Abies fabri,(Mast.) Craib
Abies fanjingshanensis,"W.L.Huang, Y.L.Tu & S.Z.Fang"
Abies fargesii,Franch.
Abies firma,Siebold & Zucc.
Abies forrestii,Coltm.-Rog.
Abies fraseri,(Pursh) Poir.
Abies grandis,(Douglas ex D.Don) Lindl.
Abies guatemalensis,Rehder
Abies hickelii,Flous & Gaussen
Abies hidalgensis,"Debreczy, I.Rácz & Guízar"
Abies holophylla,Maxim.
Abies homolepis,Siebold & Zucc.
Abies jaliscana,"(Martínez) Mantilla, Shalisko & A.Vázquez"
Abies kawakamii,(Hayata) Ito
Abies koreana,E.H.Wilson
Abies lasiocarpa,(Hook.) Nutt.
Abies magnifica,A.Murray
Abies mariesii,Mast.
Abies nebrodensis,(Lojac.) Mattei
Abies nephrolepis,(Trautv.) Maxim.
Abies nordmanniana,(Steven) Spach
Abies numidica,de Lannoy ex Carrière
Abies pindrow,(Royle ex D.Don) Royle
Abies pinsapo,Boiss.
Abies procera,Rehder
Abies recurvata,Mast.
Abies religiosa,(Kunth) Schltdl. & Cham.
Abies sachalinensis,(F.Schmidt) Mast.
Abies sibirica,Ledeb.
Abies spectabilis,(D.Don) Mirb.
Abies squamata,Mast.
Abies veitchii,Lindl.
Abies vejarii,Martínez
Abies yuanbaoshanensis,Y.J.Lu & L.K.Fu
Abies ziyuanensis,L.K.Fu & S.L.Mo
Abrahamia deflexa,(H.Perrier) Randrian. & Lowry
Abrahamia ditimena,(H.Perrier) Randrian. & Lowry
Abrahamia grandidieri,(Engl.) Randrian. & Lowry
Abrahamia humbertii,(H. Perrier) Randrian. & Lowry
Abrahamia latifolia,(Engl.) Randrian. & Lowry
Abrahamia lecomtei,(H.Perrier) Randrian. & Lowry
Abrahamia longipetiolata,Randrian. & Lowry
Abrahamia louvelii,(H.Perrier) Randrian. & Lowry
Abrahamia oblongifolia,(Engl.) Randrian. & Lowry
Abrahamia pauciflora,(Engl. ex H.Perrier) Randrian. & Lowry
Abrahamia phillipsonii,Randrian. & Lowry
Abrahamia sericea,(Engl.) Randrian. & Lowry
Abrahamia suarezensis,Randrian. & Lowry
Abrahamia thouvenotii,(Lecomte) Randrian. & Lowry
Abrahamia viguieri,(H. Perrier) Randrian. & Lowry
Abuta grandifolia,(Mart.) Sandwith
Abuta grisebachii,Triana & Planch.
Abuta imene,(Mart.) Eichler
Abuta panurensis,Eichler
Abuta rufescens,Aubl.
Abuta sandwithiana,Krukoff & Barneby
Abuta velutina,Gleason
Abutilon bastardioides,Baker f. ex Rose
Abutilon giganteum,(Jacq.) Sweet
Abutilon grandidentatum,Fryxell
Abutilon haenkeanum,C.Presl
Abutilon herzogianum,R.E.Fr.
Abutilon incanum,(Link) Sweet
Abutilon leonardii,Urb.
Abutilon peruvianum,(Lam.) Kearney
Abutilon purpusii,Standl.
Abutilon pyramidale,Turcz.
Abutilon sachetianum,Fosberg
Abutilon stenopetalum,Garcke
Abutilon tehuantepecense,Fryxell
Abutilon thyrsodendron,Griseb.
Abutilon turumiquirense,Steyerm.
Abutilon venosum,Lem.
Abutilon whistleri,Fosberg
Acacia acradenia,F.Muell.
Acacia acrionastes,Pedley
Acacia acuminata,Benth.
Acacia adsurgens,Maiden
Acacia adunca,A.Cunn. ex G.Don
Acacia aestivalis,E.Pritz.
Acacia alleniana,Maiden
Acacia amblyophylla,F.Muell.
Acacia ammobia,Maconochie
Acacia ammophila,Pedley
Acacia amoena,H.L.Wendl.
Acacia ampliata,R.S.Cowan & Maslin
Acacia ampliceps,Maslin
Acacia anastema,Maslin
Acacia anaticeps,Tindale
Acacia ancistrocarpa,Maiden & Blakely
Acacia aneura,F.Muell. ex Benth.
Acacia anfractuosa,Maslin
Acacia angusta,Maiden & Blakely
Acacia anthochaera,Maslin
Acacia aprepta,Pedley
Acacia aptaneura,Maslin & J.E.Reid
Acacia arafurica,Tindale & Kodela
Acacia araneosa,Whibley
Acacia areolata,M.W.McDonald
Acacia argyraea,Tindale
Acacia argyrodendron,Domin
Acacia armillata,(Pedley) Pedley
Acacia armitii,F.Muell. ex Maiden
Acacia assimilis,S.Moore
Acacia atopa,Pedley
Acacia attenuata,Maiden
Acacia aulacocarpa,A.Cunn. ex Benth.
Acacia auriculiformis,A.Cunn. ex Benth.
Acacia auripila,R.S.Cowan & Maslin
Acacia ausfeldii,Regel
Acacia axillaris,Benth.
Acacia ayersiana,Maconochie
Acacia baileyana,F.Muell.
Acacia bakeri,Maiden
Acacia bancroftiorum,Maiden
Acacia barrettiorum,Lewington & Maslin
Acacia beauverdiana,Ewart & Sharman
Acacia binervata,DC.
Acacia binervia,(J.C.Wendl.) J.F.Macbr.
Acacia blakei,Pedley
Acacia blakelyi,Maiden
Acacia blayana,Tindale & Court
Acacia brachystachya,Benth.
Acacia brassii,Pedley
Acacia brockii,Tindale & Kodela
Acacia bromilowiana,Maslin
Acacia brumalis,Maslin
Acacia bulgaensis,Tindale & S.J.Davies
Acacia burrowii,Maiden
Acacia burrowsiana,Maslin
Acacia caerulescens,Maslin & Court
Acacia caesaneura,Maslin & J.E.Reid
Acacia caesiella,Maiden & Blakely
Acacia calamifolia,Sweet ex Lindl.
Acacia calcicola,Forde & Isiny
Acacia cambagei,R.T.Baker
Acacia cana,Maiden
Acacia cangaiensis,Tindale & Kodela
Acacia cardiophylla,A.Cunn. ex Benth.
Acacia carneorum,Maiden
Acacia caroleae,Pedley
Acacia catenulata,C.T.White
Acacia celastrifolia,Benth.
Acacia celsa,Tindale
Acacia chartacea,Maslin
Acacia cheelii,Blakely
Acacia chrysotricha,Tindale
Acacia cincinnata,F.Muell.
Acacia citrinoviridis,Tindale & Maslin
Acacia clunies-rossiae,Maiden
Acacia cockertoniana,Maslin
Acacia cognata,Domin
Acacia colei,Maslin & L.A.J.Thomson
Acacia colletioides,A.Cunn. ex Benth.
Acacia complanata,A.Cunn. ex Benth.
Acacia concurrens,Pedley
Acacia conferta,A.Cunn. ex Benth.
Acacia confusa,Merr.
Acacia conniana,Maslin
Acacia conspersa,F.Muell.
Acacia convallium,Pedley
Acacia coolgardiensis,Maiden
